Year,Round,TrackID,DriverID,TeamID,DriverTeamID,QualifyingPosition,ChampionshipStanding,ChampionshipPoints,Points,RecentFormPoints,RecentQualiPos,RecentFinishPos,FinishingPosition
2023,7,Barcelona,HAM,Mercedes,HAM_Mercedes,4.0,4.0,69.0,18.0,11.4,6.6,4.6,2
2023,7,Barcelona,RUS,Mercedes,RUS_Mercedes,12.0,5.0,50.0,15.0,7.8,6.0,7.8,3
2023,7,Barcelona,PER,Red Bull Racing,PER_Red Bull Racing,11.0,2.0,105.0,12.0,15.8,9.0,5.0,4
2023,7,Barcelona,SAI,Ferrari,SAI_Ferrari,2.0,6.0,48.0,10.0,6.4,4.0,7.2,5
2023,7,Barcelona,STR,Aston Martin,STR_Aston Martin,5.0,8.0,27.0,8.0,3.6,10.4,12.6,6
2023,7,Barcelona,ALO,Aston Martin,ALO_Aston Martin,8.0,3.0,93.0,6.0,15.0,3.2,3.0,7
2023,7,Barcelona,OCO,Alpine,OCO_Alpine,6.0,9.0,21.0,4.0,4.2,9.4,9.8,8
2023,7,Barcelona,ZHO,Alfa Romeo,ZHO_Alfa Romeo,13.0,15.0,2.0,2.0,0.4,15.2,14.0,9
2023,7,Barcelona,GAS,Alpine,GAS_Alpine,10.0,10.0,14.0,1.0,2.4,9.4,10.2,10
2023,7,Barcelona,LEC,Ferrari,LEC_Ferrari,19.0,7.0,42.0,0.0,7.0,6.6,8.6,11
2023,7,Barcelona,TSU,AlphaTauri,TSU_AlphaTauri,15.0,16.0,2.0,0.0,0.4,12.4,11.4,12
2023,7,Barcelona,PIA,McLaren,PIA_McLaren,9.0,13.0,5.0,0.0,1.0,12.8,12.6,13
2023,7,Barcelona,DEV,AlphaTauri,DEV_AlphaTauri,14.0,19.0,0.0,0.0,0.0,15.6,15.8,14
2023,7,Barcelona,HUL,Haas F1 Team,HUL_Haas F1 Team,7.0,12.0,6.0,0.0,1.2,14.0,13.6,15
2023,7,Barcelona,ALB,Williams,ALB_Williams,18.0,18.0,1.0,0.0,0.0,12.2,15.6,16
2023,7,Barcelona,NOR,McLaren,NOR_McLaren,3.0,11.0,12.0,0.0,2.4,13.0,11.6,17
2023,7,Barcelona,MAG,Haas F1 Team,MAG_Haas F1 Team,17.0,17.0,2.0,0.0,0.4,12.8,13.8,18
2023,7,Barcelona,BOT,Alfa Romeo,BOT_Alfa Romeo,16.0,14.0,4.0,0.0,0.0,14.2,14.2,19
2023,7,Barcelona,SAR,Williams,SAR_Williams,20.0,20.0,0.0,0.0,0.0,17.6,17.2,20
2023,8,Montréal,VER,Red Bull Racing,VER_Red Bull Racing,1.0,1.0,170.0,25.0,24.0,2.8,1.2,1
2023,8,Montréal,ALO,Aston Martin,ALO_Aston Martin,2.0,3.0,99.0,18.0,13.2,4.4,3.8,2
2023,8,Montréal,HAM,Mercedes,HAM_Mercedes,3.0,4.0,87.0,15.0,13.0,6.0,4.0,3
2023,8,Montréal,LEC,Ferrari,LEC_Ferrari,10.0,7.0,42.0,12.0,5.8,8.0,9.4,4
2023,8,Montréal,SAI,Ferrari,SAI_Ferrari,11.0,6.0,58.0,10.0,6.8,3.6,7.0,5
2023,8,Montréal,PER,Red Bull Racing,PER_Red Bull Racing,12.0,2.0,117.0,9.0,13.2,11.0,5.6,6
2023,8,Montréal,ALB,Williams,ALB_Williams,9.0,18.0,1.0,6.0,0.0,12.4,15.0,7
2023,8,Montréal,OCO,Alpine,OCO_Alpine,6.0,9.0,25.0,4.0,4.2,9.4,9.8,8
2023,8,Montréal,STR,Aston Martin,STR_Aston Martin,16.0,8.0,35.0,2.0,5.2,10.4,9.8,9
2023,8,Montréal,BOT,Alfa Romeo,BOT_Alfa Romeo,14.0,14.0,4.0,1.0,0.0,14.6,14.4,10
2023,8,Montréal,PIA,McLaren,PIA_McLaren,8.0,13.0,5.0,0.0,1.0,13.0,12.2,11
2023,8,Montréal,GAS,Alpine,GAS_Alpine,15.0,10.0,15.0,0.0,2.2,9.6,10.4,12
2023,8,Montréal,NOR,McLaren,NOR_McLaren,7.0,11.0,12.0,0.0,2.4,9.8,11.6,13
2023,8,Montréal,TSU,AlphaTauri,TSU_AlphaTauri,19.0,16.0,2.0,0.0,0.4,12.2,11.6,14
2023,8,Montréal,HUL,Haas F1 Team,HUL_Haas F1 Team,5.0,12.0,6.0,0.0,1.2,13.4,14.2,15
2023,8,Montréal,ZHO,Alfa Romeo,ZHO_Alfa Romeo,20.0,15.0,4.0,0.0,0.8,15.6,13.2,16
2023,8,Montréal,MAG,Haas F1 Team,MAG_Haas F1 Team,13.0,17.0,2.0,0.0,0.2,13.6,15.4,17
2023,8,Montréal,DEV,AlphaTauri,DEV_AlphaTauri,17.0,19.0,0.0,0.0,0.0,14.8,15.8,18
2023,8,Montréal,RUS,Mercedes,RUS_Mercedes,4.0,5.0,65.0,0.0,8.4,7.8,7.6,19
2023,8,Montréal,SAR,Williams,SAR_Williams,18.0,20.0,0.0,0.0,0.0,17.6,18.0,20
2023,9,Spielberg,VER,Red Bull Racing,VER_Red Bull Racing,1.0,1.0,195.0,26.0,24.0,2.8,1.2,1
2023,9,Spielberg,LEC,Ferrari,LEC_Ferrari,2.0,7.0,54.0,18.0,8.2,8.6,6.2,2
2023,9,Spielberg,PER,Red Bull Racing,PER_Red Bull Racing,15.0,2.0,126.0,15.0,12.8,9.4,5.8,3
2023,9,Spielberg,NOR,McLaren,NOR_McLaren,4.0,11.0,12.0,12.0,0.8,8.6,13.0,4
2023,9,Spielberg,ALO,Aston Martin,ALO_Aston Martin,7.0,3.0,117.0,10.0,13.8,4.0,3.6,5
2023,9,Spielberg,SAI,Ferrari,SAI_Ferrari,3.0,5.0,68.0,8.0,8.8,4.8,5.6,6
2023,9,Spielberg,RUS,Mercedes,RUS_Mercedes,11.0,6.0,65.0,6.0,8.4,8.2,7.8,7
2023,9,Spielberg,HAM,Mercedes,HAM_Mercedes,5.0,4.0,102.0,4.0,12.4,6.0,4.2,8
2023,9,Spielberg,STR,Aston Martin,STR_Aston Martin,6.0,8.0,37.0,2.0,3.2,12.4,10.8,9
2023,9,Spielberg,GAS,Alpine,GAS_Alpine,9.0,10.0,15.0,1.0,2.2,10.8,10.2,10
2023,9,Spielberg,ALB,Williams,ALB_Williams,10.0,12.0,7.0,0.0,1.2,12.6,12.6,11
2023,9,Spielberg,ZHO,Alfa Romeo,ZHO_Alfa Romeo,17.0,16.0,4.0,0.0,0.4,16.2,14.6,12
2023,9,Spielberg,SAR,Williams,SAR_Williams,18.0,20.0,0.0,0.0,0.0,17.6,18.8,13
